TIME_PERIOD,geo,energy
2009,BR,1.14E+07
2009,IN,2.81E+07
2009,MX,7.17E+06
2009,RU,1.27E+07
2009,AU,1.23E+07
2009,CH,1.61E+06
2009,TR,4.01E+06
2009,TW,2.69E+06
2009,NO,3.47E+06
2009,ID,9.31E+06
2009,ZA,3.50E+06
2009,WA,2.70E+07
2009,WL,1.71E+07
2009,WE,1.19E+07
2009,WF,2.55E+07
2009,WM,2.33E+07
2010,AT,1.46E+06
2010,BE,3.12E+06
2010,BG,7.32E+05
2010,CY,1.88E+05
2010,CZ,2.42E+06
2010,DE,1.31E+07
2010,DK,1.19E+06
2010,EE,3.72E+05
2010,ES,5.75E+06
2010,FI,1.88E+06
2010,FR,8.10E+06
2010,GR,1.96E+06
2010,HR,5.34E+05
2010,HU,1.90E+06
2010,IE,1.06E+06
2010,IT,1.33E+07
2010,LT,5.54E+05
2010,LU,2.35E+05
2010,LV,3.49E+05
2010,MT,1.93E+05
2010,NL,5.83E+06
2010,PL,4.44E+06
2010,PT,1.10E+06
2010,RO,2.00E+06
2010,SE,1.77E+06
2010,SI,3.95E+05
2010,SK,1.75E+06
2010,GB,1.11E+07
2010,US,9.80E+07
2010,JP,1.97E+07
2010,CN,9.53E+07
2010,CA,1.67E+07
2010,KR,9.18E+06
2010,BR,1.27E+07
2010,IN,2.84E+07
2010,MX,7.49E+06
2010,RU,1.33E+07
2010,AU,1.18E+07
2010,CH,1.66E+06
2010,TR,4.74E+06
2010,TW,3.50E+06
2010,NO,2.71E+06
2010,ID,9.46E+06
2010,ZA,3.34E+06
2010,WA,3.40E+07
2010,WL,1.75E+07
2010,WE,1.18E+07
2010,WF,2.44E+07
2010,WM,2.36E+07
2011,AT,1.52E+06
2011,BE,3.45E+06
2011,BG,7.29E+05
2011,CY,1.32E+05
2011,CZ,2.28E+06
2011,DE,1.35E+07
2011,DK,1.15E+06
2011,EE,3.36E+05
2011,ES,5.54E+06
2011,FI,1.91E+06
2011,FR,8.62E+06
2011,GR,2.02E+06
2011,HR,4.07E+05
2011,HU,1.69E+06
2011,IE,1.01E+06
2011,IT,1.32E+07
2011,LT,5.99E+05
2011,LU,2.40E+05
2011,LV,3.68E+05
2011,MT,1.14E+05
2011,NL,4.76E+06
2011,PL,5.04E+06
2011,PT,1.06E+06
2011,RO,2.07E+06
2011,SE,1.80E+06
2011,SI,4.72E+05
2011,SK,1.60E+06
2011,GB,1.09E+07
2011,US,9.50E+07
2011,JP,2.09E+07
2011,CN,1.06E+08
2011,CA,1.51E+07
2011,KR,9.65E+06
2011,BR,1.35E+07
2011,IN,3.06E+07
2011,MX,8.28E+06
2011,RU,1.29E+07
2011,AU,1.19E+07
2011,CH,2.02E+06
2011,TR,5.26E+06
2011,TW,3.74E+06
2011,NO,2.66E+06
2011,ID,9.76E+06
2011,ZA,3.73E+06
2011,WA,3.29E+07
2011,WL,1.78E+07
2011,WE,1.47E+07
2011,WF,2.22E+07
2011,WM,2.40E+07
2012,AT,1.63E+06
2012,BE,3.25E+06
2012,BG,8.06E+05
2012,CY,1.23E+05
2012,CZ,2.16E+06
2012,DE,1.30E+07
2012,DK,1.10E+06
2012,EE,3.93E+05
2012,ES,5.07E+06
2012,FI,1.15E+06
2012,FR,8.57E+06
2012,GR,1.98E+06
2012,HR,3.49E+05
2012,HU,1.49E+06
2012,IE,9.31E+05
2012,IT,1.16E+07
2012,LT,6.25E+05
2012,LU,2.93E+05
2012,LV,3.74E+05
2012,MT,1.31E+05
2012,NL,5.07E+06
2012,PL,4.93E+06
2012,PT,9.49E+05
2012,RO,1.98E+06
2012,SE,1.87E+06
2012,SI,4.46E+05
2012,SK,1.44E+06
2012,GB,1.07E+07
2012,US,9.25E+07
2012,JP,2.26E+07
2012,CN,1.11E+08
2012,CA,1.62E+07
2012,KR,9.90E+06
2012,BR,1.34E+07
2012,IN,3.06E+07
2012,MX,7.73E+06
2012,RU,1.40E+07
2012,AU,1.20E+07
2012,CH,1.91E+06
2012,TR,5.28E+06
2012,TW,3.70E+06
2012,NO,2.61E+06
2012,ID,1.04E+07
2012,ZA,2.90E+06
2012,WA,3.64E+07
2012,WL,1.90E+07
2012,WE,1.41E+07
2012,WF,2.51E+07
2012,WM,2.33E+07
2013,AT,1.46E+06
2013,BE,3.02E+06
2013,BG,6.58E+05
2013,CY,9.16E+04
2013,CZ,2.07E+06
2013,DE,1.49E+07
2013,DK,1.01E+06
2013,EE,3.56E+05
2013,ES,4.65E+06
2013,FI,1.91E+06
2013,FR,8.59E+06
2013,GR,1.96E+06
2013,HR,3.77E+05
2013,HU,1.48E+06
2013,IE,1.01E+06
2013,IT,1.12E+07
2013,LT,5.96E+05
2013,LU,3.78E+05
2013,LV,3.73E+05
2013,MT,1.39E+05
2013,NL,4.23E+06
2013,PL,4.45E+06
2013,PT,9.09E+05
2013,RO,1.55E+06
2013,SE,1.71E+06
2013,SI,4.26E+05
2013,SK,1.60E+06
2013,GB,1.01E+07
2013,US,9.52E+07
2013,JP,1.97E+07
2013,CN,1.20E+08
2013,CA,1.65E+07
2013,KR,8.96E+06
2013,BR,1.40E+07
2013,IN,3.04E+07
2013,MX,6.55E+06
2013,RU,1.40E+07
2013,AU,1.19E+07
2013,CH,1.99E+06
2013,TR,5.11E+06
2013,TW,3.83E+06
2013,NO,2.83E+06
2013,ID,1.01E+07
2013,ZA,3.41E+06
2013,WA,3.80E+07
2013,WL,1.89E+07
2013,WE,1.29E+07
2013,WF,2.50E+07
2013,WM,2.50E+07
2014,AT,1.37E+06
2014,BE,2.69E+06
2014,BG,7.04E+05
2014,CY,9.86E+04
2014,CZ,1.84E+06
2014,DE,1.42E+07
2014,DK,1.05E+06
2014,EE,3.67E+05
2014,ES,4.52E+06
2014,FI,1.26E+06
2014,FR,8.20E+06
2014,GR,1.58E+06
2014,HR,3.71E+05
2014,HU,1.55E+06
2014,IE,9.37E+05
2014,IT,1.21E+07
2014,LT,6.30E+05
2014,LU,4.06E+05
2014,LV,3.15E+05
2014,MT,1.13E+05
2014,NL,4.66E+06
2014,PL,4.50E+06
2014,PT,8.82E+05
2014,RO,1.45E+06
2014,SE,1.64E+06
2014,SI,3.96E+05
2014,SK,1.66E+06
2014,GB,1.02E+07
2014,US,9.93E+07
2014,JP,1.96E+07
2014,CN,1.22E+08
2014,CA,1.64E+07
2014,KR,9.73E+06
2014,BR,1.44E+07
2014,IN,3.17E+07
2014,MX,7.99E+06
2014,RU,1.25E+07
2014,AU,1.18E+07
2014,CH,1.68E+06
2014,TR,5.00E+06
2014,TW,3.34E+06
2014,NO,2.64E+06
2014,ID,9.61E+06
2014,ZA,3.47E+06
2014,WA,3.77E+07
2014,WL,2.00E+07
2014,WE,1.05E+07
2014,WF,2.91E+07
2014,WM,2.69E+07
2015,AT,1.26E+06
2015,BE,3.17E+06
2015,BG,8.26E+05
2015,CY,1.20E+05
2015,CZ,1.97E+06
2015,DE,1.29E+07
2015,DK,1.01E+06
2015,EE,4.70E+05
2015,ES,4.37E+06
2015,FI,1.11E+06
2015,FR,8.01E+06
2015,GR,1.54E+06
2015,HR,3.59E+05
2015,HU,1.37E+06
2015,IE,9.81E+05
2015,IT,1.23E+07
2015,LT,5.38E+05
